WeekBeginning,Location,DateOfSample,NoOfSamples
2020-07-06,Belfast,2020-07-06,3
2020-07-06,Larne,2020-07-07,1
2020-07-06,Dundrum N,2020-07-08,2
2020-07-06,Killough,2020-07-08,1
2020-07-06,Foyle,2020-07-07,2
2020-07-20,Belfast,2020-07-20,3
2020-07-20,Strangford,2020-07-21,2
2020-07-20,Carlingford,2020-07-22,4
2020-07-27,Dundrum S,2020-07-27,1
2020-08-03,Belfast,2020-08-03,3
2020-08-03,Larne,2020-08-04,1
2020-08-03,Dundrum N,2020-08-04,2
2020-08-03,Killough,2020-08-04,1
2020-08-03,Foyle,2020-08-04,2
2020-08-17,Belfast,2020-08-17,3
2020-08-17,Strangford,2020-08-18,2
2020-08-17,Carlingford,2020-08-19,4
2020-08-24,Dundrum S,2020-08-24,1
2020-08-31,Belfast,2020-09-01,3
2020-09-07,Larne,2020-09-08,1
2020-09-07,Dundrum N,2020-09-07,2
2020-09-07,Killough,2020-09-07,2
2020-09-07,Foyle,2020-09-08,2
2020-09-07,Carlingford,2020-09-08,4
2020-09-14,Belfast,2020-09-14,3
2020-09-14,Strangford,2020-09-15,2
2020-09-28,Dundrum S,2020-09-29,1
